Zone,CH Num,CH Name,RX Freq,TX Freq,RX TS,TX TS,RX CC,TX CC,Type,Power,Bandwidth,RX Only,Contact Name,RX Group Name,Scan List Name,Alarm,Prompt,PCT,MSG Type,TX Policy,EAS,TX Tone Type,TX Tone,RX Tone Type,RX Tone,APRS CH,Relay Monitor,Relay Mode
George HS,14,BM Parrot-,438800000,438800000,ON,ON,1,1,DIGITAL,HIGH,12.5KHz,OFF,BM Parrot-,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
George HS,15,BM Disconn,438800000,438800000,ON,ON,1,1,DIGITAL,HIGH,12.5KHz,OFF,BM Disconn,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF

George Rpt,1,Lucedale V,147120000,147720000,TS1,TS1,1,1,ANALOG,HIGH,25KHz,OFF,NO TALKGRO,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,CTCSS,136.5,CTCSS,136.5,0,OFF,OFF
George Rpt,2,Lucedale C,145330000,446800000,TS1,TS1,1,1,ANALOG,HIGH,25KHz,OFF,NO TALKGRO,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,CTCSS,136.5,CTCSS,136.5,0,OFF,OFF
George Rpt,3,Greene VHF,147000000,147600000,TS1,TS1,1,1,ANALOG,HIGH,25KHz,OFF,NO TALKGRO,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,CTCSS,136.5,CTCSS,136.5,0,OFF,OFF
George Rpt,4,Greene UHF,444225000,449225000,TS1,TS1,1,1,ANALOG,HIGH,25KHz,OFF,NO TALKGRO,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,CTCSS,136.5,CTCSS,136.5,0,OFF,OFF
George Rpt,5,Lucedale S,147120000,147120000,ON,ON,1,1,ANALOG,HIGH,12.5KHz,OFF,NO TALKGRO,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,CTCSS,136.5,CTCSS,136.5,0,OFF,OFF
George Rpt,6,Greene Sim,147000000,147000000,ON,ON,1,1,ANALOG,HIGH,25KHz,OFF,NO TALKGRO,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,CTCSS,136.5,CTCSS,136.5,0,OFF,OFF
George Rpt,7,Lucedale T,146420000,146420000,ON,ON,1,1,ANALOG,HIGH,25KHz,OFF,NO TALKGRO,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
George Rpt,8,Rpt GC3 No,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,MARC3 Nort,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
